Hotel Eugène en Ville,182,9th arr.,1.4 miles,8.6,Fabulous,NA,815
Floride-Etoile,139,16th arr.,3 miles,8.6,Fabulous,9.3,880
Hotel Opéra d'Antin,139,9th arr.,1.5 miles,8,Very good,9.3,548
TOUR EIFFEL JAVEL,166,15th arr.,3.1 miles,7.4,Good,NA,17
Le Glam's Hotel,109,14th arr.,2.5 miles,8.2,Very good,NA,1288
Hotel Jenner,106,13th arr.,1.6 miles,8.2,Very good,NA,635
Aparthotel Adagio Paris Nation,NA,12th arr.,Metro access,NA,Very good,NA,NA
Le Robinet d'Or,162,10th arr.,1.6 miles,9,Superb,NA,865
Hotel Bastille,110,11th arr.,0.9 miles,7.6,Good,NA,824
Hotel Maison FL,212,16th arr.,3.1 miles,8.9,Fabulous,9.4,724
Hôtel Diva Opera,121,9th arr.,1.2 miles,8.2,Very good,NA,1202
Le Belleval,190,8th arr.,1.9 miles,9,Superb,9.3,908
Le Relais Médicis,189,6th arr.,0.7 miles,8.4,Very good,9.4,291
Notre-Dame luxury Suite in Saint-germain des prés Latin quarter,NA,5th arr.,Metro access,9.3,Superb,9.7,172
Hôtel La Parizienne by Elegancia,143,6th arr.,1.6 miles,8.1,Very good,NA,646
Les Jardins du Faubourg Paris,450,8th arr.,1.7 miles,9.1,Superb,9.3,129
Art Hotel Eiffel,160,15th arr.,2.5 miles,8.3,Very good,9.3,765
Hôtel Novanox,147,6th arr.,1.4 miles,8.1,Very good,NA,767
Hôtel De Fleurie,199,6th arr.,0.7 miles,8.2,Very good,9.3,599
Le Patio Bastille,149,11th arr.,1.9 miles,8.1,Very good,NA,1051
Hotel Terre Neuve,99,20th arr.,2.1 miles,8.4,Very good,NA,727
Hotel Saint-Louis Marais,NA,4th arr.,Metro access,8.4,Very good,NA,788
Terminus Orléans,88,14th arr.,2.6 miles,8.6,Fabulous,NA,2167
Le Méridien Etoile,177,17th arr.,3.1 miles,7.8,Good,NA,1264
Timhotel Paris Gare de Lyon,110,12th arr.,1.1 miles,7.6,Good,NA,1094
Hôtel Crayon Rouge by Elegancia,177,1st arr.,0.7 miles,8.4,Very good,9.3,226
Rambuteau Flat,161,3rd arr.,"1,800 feet",8.4,Very good,9.5,11
Résidence Champ de Mars,114,15th arr.,2.5 miles,8.3,Very good,9.3,475
Motel One Paris-Porte Dorée,NA,12th arr.,Metro access,9,Superb,NA,4259
Snob Hotel by Elegancia,243,1st arr.,"2,150 feet",8.6,Fabulous,9.3,379
Hôtel Mimosa,110,10th arr.,0.9 miles,7.8,Good,NA,1004
Best Western Premier Hotel Littéraire Le Swann,133,8th arr.,2.1 miles,8.5,Very good,NA,731
Hotel Antin Trinité,132,9th arr.,1.5 miles,7.8,Good,NA,1329
Maison Bréguet,240,11th arr.,1 miles,8.7,Fabulous,NA,258
Residhome Paris Rosa Parks,70,19th arr.,2.9 miles,8.5,Very good,NA,1762
THE RESIDENCE - LUXURY 2 BEDROOM APARTMENT MONTORGUEIL,NA,2nd arr.,Metro access,9.3,Superb,9.8,60
Hôtel George Washington,148,8th arr.,2.5 miles,7.3,Good,NA,348
Le Malown,133,8th arr.,1.6 miles,8,Very good,9.3,1179
Hotel des Arts,108,9th arr.,1.1 miles,8,Very good,NA,1410
Hôtel Garance,155,5th arr.,1.3 miles,7.8,Good,NA,1347
Marais Charming Place,172,4th arr.,"1,800 feet",8,Very good,9.5,19
L'Oasis,90,14th arr.,2.2 miles,7.4,Good,NA,690
St Honore,NA,1st arr.,Metro access,9.7,Exceptional,10,52
Le Senat,205,6th arr.,0.8 miles,8.6,Fabulous,9.4,532
Hotel Icône,168,2nd arr.,1.1 miles,8,Very good,NA,675
Madrigal,122,15th arr.,2.1 miles,8.5,Very good,NA,1479
Suites & Hôtel Helzear Etoile,210,8th arr.,2.6 miles,8.4,Very good,9.3,1175
Hôtel Saint Roch,136,1st arr.,1.1 miles,7.6,Good,NA,420
Hotel Saint Honore,149,1st arr.,"2,600 feet",7.6,Good,NA,538
Hotel d'Orsay - Esprit de France,198,7th arr.,1.3 miles,9.2,Superb,9.6,682
Garden Saint Martin,NA,10th arr.,Metro access,8.1,Very good,NA,1836
Le Tsuba Hotel,226,17th arr.,3 miles,9.2,Superb,9.3,1218
Hôtel Saint Marcel,132,13th arr.,1.3 miles,8.5,Very good,NA,758
Hotel Le Mareuil,232,11th arr.,1 miles,9.2,Superb,NA,684
